id;start_time;end_time;status;water_amount
1;2023-01-23T21:24:38;2023-01-24T01:56:07;2023-01-24T03:41:35;45794
2;2023-01-24T16:28:41;2023-01-24T00:10:59;2023-01-24T09:26:31;55592
3;2023-01-24T12:57:32;2023-01-24T00:08:21;2023-01-24T17:40:40;93524
4;2023-01-24T12:45:57;2023-01-24T19:09:15;2023-01-24T09:37:01;17580
5;2023-01-24T00:12:48;2023-01-24T06:35:33;2023-01-24T10:07:26;23944
6;2023-01-24T00:16:16;2023-01-24T18:45:01;2023-01-24T10:21:02;49215
7;2023-01-24T05:29:35;2023-01-24T04:28:30;2023-01-24T15:18:05;19365
8;2023-01-24T06:28:21;2023-01-24T19:35:22;2023-01-24T07:34:50;54942
9;2023-01-24T00:30:12;2023-01-24T17:04:48;2023-01-24T07:35:18;6831
10;2023-01-24T09:10:55;2023-01-24T11:02:26;2023-01-23T21:33:58;36587
